Name,Class,Intensity,Symmetry
Row  663,five,0.222771,-4.127125
Row  672,five,0.347377,-5.65725
Row  701,five,0.387664,-3.916812
Row  751,five,0.358064,-5.348562
Row  794,five,0.191244,-3.062125
Row  796,five,0.194727,-2.88725
Row  799,five,0.193064,-3.313875
Row  805,five,0.173664,-3.719937
Row  809,five,0.38942,-6.632937
Row  861,five,0.277305,-3.737875
Row  881,five,0.240395,-3.375
Row  907,five,0.30243,-4.996875
Row  919,five,0.191641,-3.9325
Row  953,five,0.269451,-4.637937
Row  962,five,0.399086,-6.719125
Row  966,five,0.369357,-5.698875
Row  994,five,0.317563,-3.8805
Row 1011,five,0.278338,-4.512125
Row 1012,five,0.295447,-5.484687
Row 1024,five,0.163535,-3.668375
Row 1025,five,0.153773,-3.465937
Row 1033,five,0.283209,-4.741562
Row 1034,five,0.274602,-4.549
Row 1038,five,0.176797,-3.548313
Row 1041,five,0.404049,-6.181625
Row 1046,five,0.329318,-4.061125
Row 1048,five,0.376518,-5.438125
Row 1051,five,0.323727,-5.459125
Row 1056,five,0.188057,-3.826875
Row 1058,five,0.162402,-3.55725
Row 1061,five,0.284465,-4.473875
Row 1066,five,0.247766,-4.804437
Row 1128,five,0.319479,-5.076875
Row 1134,five,0.206846,-3.79675
Row 1136,five,0.192498,-4.48725
Row 1182,five,0.337996,-6.131687
Row 1186,five,0.29924,-5.335813
Row 1187,five,0.268062,-4.914813
Row 1197,five,0.326322,-5.081313
Row 1205,five,0.351197,-5.723125
Row 1239,five,0.40373,-4.73325
Row 1261,five,0.24449,-3.113187
Row 1302,five,0.385014,-4.70025
Row 1304,five,0.356281,-4.486562
Row 1313,five,0.286656,-4.7815
Row 1314,five,0.216125,-3.7895
Row 1323,five,0.31734,-5.23425
Row 1357,five,0.345398,-5.358437
Row 1374,five,0.322826,-5.8495
Row 1377,five,0.201949,-3.388438
Row 1378,five,0.27899,-4.833875
Row 1385,five,0.235109,-4.244813
Row 1390,five,0.420488,-6.514687
Row 1392,five,0.606639,-5.601438
Row 1395,five,0.249025,-4.507688
Row 1400,five,0.373982,-6.175688
Row 1408,five,0.450908,-5.183562
Row 1445,five,0.326959,-6.1215
Row 1446,five,0.329354,-6.081812
Row 1450,five,0.284621,-5.751938
Row 1458,five,0.29659,-5.351187
Row 1459,five,0.390756,-5.826937
Row 1493,five,0.347586,-5.174938
Row 1518,five,0.455209,-5.384875
Row 1538,five,0.239051,-5.328688
Row 1588,five,0.166656,-3.534187
Row 1601,five,0.428754,-5.79575
Row 1602,five,0.547627,-6.20125
Row 1608,five,0.362586,-5.279187
Row 1609,five,0.401752,-5.997813
Row 1610,five,0.306221,-5.36575
Row 1643,five,0.433697,-5.180313
Row 1652,five,0.241414,-4.795
Row 1657,five,0.463721,-6.532063
Row 1662,five,0.216195,-5.091312
Row 1664,five,0.192223,-4.089875
Row 1665,five,0.226445,-3.616
Row 1670,five,0.228623,-4.702562
Row 1682,five,0.153934,-3.642562
Row 1687,five,0.315418,-4.066125
Row 1689,five,0.267338,-4.610563
Row 1695,five,0.333316,-4.292562
Row 1711,five,0.338588,-4.88225
Row 1712,five,0.319125,-5.105188
Row 1722,five,0.349012,-6.132625
Row 1727,five,0.227883,-4.849125
Row 1751,five,0.253463,-4.055813
Row 1752,five,0.206867,-4.678438
Row 1766,five,0.342576,-4.068062
Row 1769,five,0.239514,-4.894188
Row 1787,five,0.276613,-5.585125
Row 1801,five,0.295018,-4.59875
Row 1817,five,0.285416,-4.909187
Row 1825,five,0.272902,-4.855313
Row 1847,five,0.243543,-3.948125
Row 1870,five,0.351324,-7.7
Row 1871,five,0.411016,-7.562
Row 1880,five,0.288709,-4.184563
Row 1881,five,0.294021,-4.512625
Row 1890,five,0.415215,-5.133063
Row 1900,five,0.19259,-3.436812
Row 1917,five,0.39099,-5.22925
Row 1928,five,0.193662,-3.996875
Row 1929,five,0.253225,-4.572687
Row 1933,five,0.353516,-5.470875
Row 1934,five,0.44993,-5.614687
Row 1938,five,0.37332,-6.305187
Row 1939,five,0.344652,-5.3205
Row 1943,five,0.261027,-4.528
Row 1944,five,0.284953,-4.282
Row 1952,five,0.154426,-2.733
Row 1964,five,0.191479,-3.40425
Row 1968,five,0.421271,-5.11925
Row 1969,five,0.389982,-6.255625
Row 1973,five,0.184225,-3.601313
Row 1974,five,0.225207,-4.501688
Row 1978,five,0.229166,-3.94025
Row 1979,five,0.223428,-4.2915
Row 1983,five,0.362895,-4.35425
Row 1984,five,0.324154,-5.089062
Row 1988,five,0.36032,-5.7375
Row 1989,five,0.445924,-5.343562
Row 1993,five,0.38498,-5.086
Row 1999,five,0.339586,-4.722875
